--- FAILURE SIGNATURES ---
22:2026-07-20T00:17:09.3018431Z [36;1mif (semantic.official_primary_capture_fraction < 0.3) throw new Error('Official capture ratio remains below 30%');[0m
23:2026-07-20T00:17:09.3019252Z [36;1mif (semantic.maximum_uninterrupted_evidence_seconds > 16) throw new Error('Evidence run remains above 16 seconds');[0m
24:2026-07-20T00:17:09.3020577Z [36;1mif (manifest.proof?.production_plan_sha256 !== approval.production_plan_sha256) throw new Error('Manifest and proof approval plan hashes differ');[0m
842:2026-07-20T00:17:09.5715776Z         "editorial_purpose": "Return to a different moment of the same review scene to interrupt a long run of screenshots.",
1148:2026-07-20T00:17:09.5813598Z           "title": "A STRESS TEST CAN REVEAL A FAILURE MODE WITHOUT PREDICTING ITS BASE RATE",
1152:2026-07-20T00:17:09.5814535Z           "right_detail": "Open environments contain oversight, alternatives and different incentives.",
4651:2026-07-20T00:17:09.6448046Z {"ok":false,"error":"ENOENT: no such file or directory, open '/home/runner/work/YouTube_pepline/YouTube_pepline/projects/001-the-ai-race-no-one-can-afford-to-win/assets/audio/final_mix.metadata.json'"}
4652:2026-07-20T00:17:09.6459361Z ##[error]Process completed with exit code 1.
--- LAST 180 LINES ---
2026-07-20T00:17:09.6415856Z             "SRC_STANFORD_AI_INDEX_2025_ECONOMY",
2026-07-20T00:17:09.6416150Z             "SRC_STANFORD_AI_INDEX_2025_TECHNICAL",
2026-07-20T00:17:09.6416280Z             "SRC_ANTHROPIC_RSP_2024",
2026-07-20T00:17:09.6416394Z             "SRC_DEEPMIND_FSF_2025"
2026-07-20T00:17:09.6416487Z           ],
2026-07-20T00:17:09.6417013Z           "limitation": "Investment levels show the scale of competition; they do not directly prove that every investor rewards speed over caution.",
2026-07-20T00:17:09.6417105Z           "font_px": 32,
2026-07-20T00:17:09.6417202Z           "steps": [
2026-07-20T00:17:09.6417471Z             "Build the conclusion only from evidence already shown…",
2026-07-20T00:17:09.6417719Z             "Label the frame as ORVYQ synthesis rather than a new…",
2026-07-20T00:17:09.6417972Z             "Do not imply the cited sources independently endorse…"
2026-07-20T00:17:09.6418058Z           ],
2026-07-20T00:17:09.6418228Z           "provenance_mode": "official_primary_capture",
2026-07-20T00:17:09.6418326Z           "image_assets": [
2026-07-20T00:17:09.6418502Z             "assets/evidence/deepmind_fsf_framework.png"
2026-07-20T00:17:09.6418581Z           ],
2026-07-20T00:17:09.6418699Z           "evidence_asset_ids": [
2026-07-20T00:17:09.6418830Z             "EVID_FSF_FRAMEWORK_CAPTURE"
2026-07-20T00:17:09.6418907Z           ]
2026-07-20T00:17:09.6418991Z         },
2026-07-20T00:17:09.6419269Z         "motif": "CLM_020_SYSTEMIC_INCENTIVE_FINAL:official:EVID_FSF_FRAMEWORK_CAPTURE"
2026-07-20T00:17:09.6419355Z       },
2026-07-20T00:17:09.6419438Z       {
2026-07-20T00:17:09.6419553Z         "shot_id": "shot_127",
2026-07-20T00:17:09.6419664Z         "scene_id": "scene_032",
2026-07-20T00:17:09.6419932Z         "section_id": "SEC_09_FINAL_PARADOX",
2026-07-20T00:17:09.6420041Z         "start_frame": 21692,
2026-07-20T00:17:09.6420134Z         "end_frame": 21878,
2026-07-20T00:17:09.6420297Z         "claim_id": "CLM_020_SYSTEMIC_INCENTIVE_FINAL",
2026-07-20T00:17:09.6420413Z         "generic_stock": false,
2026-07-20T00:17:09.6420525Z         "transition_in": "cut",
2026-07-20T00:17:09.6420647Z         "transition_out": "cut",
2026-07-20T00:17:09.6420745Z         "text_overlay": null,
2026-07-20T00:17:09.6420836Z         "sound_cue": null,
2026-07-20T00:17:09.6420956Z         "emphasis_card": null,
2026-07-20T00:17:09.6421079Z         "editorial_overlay": null,
2026-07-20T00:17:09.6421193Z         "asset_type": "evidence",
2026-07-20T00:17:09.6421313Z         "visual_role": "evidence",
2026-07-20T00:17:09.6422181Z         "editorial_purpose": "Reframe the danger as systemic incentive rather than a rogue machine, and state the real, harder challenge. Anchor the narration to an attributed source-derived visual before any metaphorical treatment.",
2026-07-20T00:17:09.6422270Z         "evidence": {
2026-07-20T00:17:09.6422393Z           "kind": "official_screen",
2026-07-20T00:17:09.6422539Z           "eyebrow": "OFFICIAL PRIMARY SOURCE",
2026-07-20T00:17:09.6422941Z           "title": "The final paradox is an editorial synthesis: competition is measurable, safet…",
2026-07-20T00:17:09.6423398Z           "subtitle": "Reframe the danger as systemic incentive rather than a rogue machine, and state the real, harder challenge.",
2026-07-20T00:17:09.6424331Z           "source_label": "Stanford Institute for Human-Centered Artificial Intelligence · 2025  |  Stanford Institute for Human-Centered Artificial Intelligence · 2025  |  Anthropic · 2024  |  Google DeepMind · 2025",
2026-07-20T00:17:09.6424430Z           "source_ids": [
2026-07-20T00:17:09.6424702Z             "SRC_STANFORD_AI_INDEX_2025_ECONOMY",
2026-07-20T00:17:09.6424854Z             "SRC_STANFORD_AI_INDEX_2025_TECHNICAL",
2026-07-20T00:17:09.6424981Z             "SRC_ANTHROPIC_RSP_2024",
2026-07-20T00:17:09.6425100Z             "SRC_DEEPMIND_FSF_2025"
2026-07-20T00:17:09.6425186Z           ],
2026-07-20T00:17:09.6425708Z           "limitation": "Investment levels show the scale of competition; they do not directly prove that every investor rewards speed over caution.",
2026-07-20T00:17:09.6425800Z           "font_px": 32,
2026-07-20T00:17:09.6426117Z           "left": "WHAT THE SOURCE SUPPORTS",
2026-07-20T00:17:09.6426451Z           "left_detail": "Build the conclusion only from evidence already shown earlier in the film.",
2026-07-20T00:17:09.6426587Z           "right": "WHAT IT DOES NOT PROVE",
2026-07-20T00:17:09.6427113Z           "right_detail": "Investment levels show the scale of competition; they do not directly prove that every investor rewards speed over caution.",
2026-07-20T00:17:09.6427287Z           "provenance_mode": "official_primary_capture",
2026-07-20T00:17:09.6427385Z           "image_assets": [
2026-07-20T00:17:09.6427546Z             "assets/evidence/deepmind_fsf_alignment.png"
2026-07-20T00:17:09.6427633Z           ],
2026-07-20T00:17:09.6427752Z           "evidence_asset_ids": [
2026-07-20T00:17:09.6427879Z             "EVID_FSF_ALIGNMENT_CAPTURE"
2026-07-20T00:17:09.6427961Z           ]
2026-07-20T00:17:09.6428043Z         },
2026-07-20T00:17:09.6428313Z         "motif": "CLM_020_SYSTEMIC_INCENTIVE_FINAL:official:EVID_FSF_ALIGNMENT_CAPTURE"
2026-07-20T00:17:09.6428403Z       },
2026-07-20T00:17:09.6428487Z       {
2026-07-20T00:17:09.6428596Z         "shot_id": "shot_128",
2026-07-20T00:17:09.6428715Z         "scene_id": "scene_032",
2026-07-20T00:17:09.6428853Z         "section_id": "SEC_09_FINAL_PARADOX",
2026-07-20T00:17:09.6428946Z         "start_frame": 21878,
2026-07-20T00:17:09.6429043Z         "end_frame": 22106,
2026-07-20T00:17:09.6429209Z         "claim_id": "CLM_020_SYSTEMIC_INCENTIVE_FINAL",
2026-07-20T00:17:09.6429321Z         "generic_stock": false,
2026-07-20T00:17:09.6429440Z         "transition_in": "cut",
2026-07-20T00:17:09.6429557Z         "transition_out": "cut",
2026-07-20T00:17:09.6429649Z         "text_overlay": null,
2026-07-20T00:17:09.6429747Z         "sound_cue": null,
2026-07-20T00:17:09.6429996Z         "emphasis_card": null,
2026-07-20T00:17:09.6430114Z         "editorial_overlay": null,
2026-07-20T00:17:09.6430237Z         "asset_type": "footage",
2026-07-20T00:17:09.6430353Z         "visual_role": "context",
2026-07-20T00:17:09.6431791Z         "editorial_purpose": "Reframe the danger as systemic incentive rather than a rogue machine, and state the real, harder challenge. Anchor the narration to an attributed source-derived visual before any metaphorical treatment. Break the evidence sequence with licensed, section-relevant moving context; the footage is not presented as literal proof of the cited claim.",
2026-07-20T00:17:09.6432025Z         "motif": "assets/footage/scene_001_52c2ebe35b131555e20a5ab5.mp4",
2026-07-20T00:17:09.6432270Z         "video_asset": "assets/footage/scene_001_52c2ebe35b131555e20a5ab5.mp4",
2026-07-20T00:17:09.6432360Z         "trim_in_sec": 0,
2026-07-20T00:17:09.6432459Z         "trim_out_sec": 7.6,
2026-07-20T00:17:09.6432576Z         "motion_variant": "hold",
2026-07-20T00:17:09.6432693Z         "contextual_footage": true,
2026-07-20T00:17:09.6432814Z         "hook_footage": false,
2026-07-20T00:17:09.6432991Z         "provenance_mode": "approved_contextual_footage",
2026-07-20T00:17:09.6433088Z         "rebalanced_from": {
2026-07-20T00:17:09.6433211Z           "asset_type": "evidence",
2026-07-20T00:17:09.6433329Z           "kind": "source_timeline"
2026-07-20T00:17:09.6433406Z         }
2026-07-20T00:17:09.6433488Z       },
2026-07-20T00:17:09.6433572Z       {
2026-07-20T00:17:09.6433680Z         "shot_id": "shot_129",
2026-07-20T00:17:09.6433798Z         "scene_id": "scene_032",
2026-07-20T00:17:09.6434061Z         "section_id": "SEC_09_FINAL_PARADOX",
2026-07-20T00:17:09.6434154Z         "start_frame": 22106,
2026-07-20T00:17:09.6434248Z         "end_frame": 22197,
